200;7400;57900;1200
300;4400;19500;1100
400;16900;14100;2300
500;2000;700;1300
600;2500;1100;1800
700;2100;700;1500
800;2500;900;2200
900;3200;1000;2500
1000;16700;1900;2400
1100;1900;900;1400
1200;29000;19700;1900
1300;27600;19300;2800
1400;6100;25000;2700
1500;2600;900;1400
1600;2000;600;1500
1700;23800;1900;4300
1800;2300;3000;1600
1900;3400;13900;2400
2000;15900;15400;2800
2100;14300;600;1600
2200;14300;13300;2600
2300;10500;600;2400
2400;7200;9700;2300
2500;7900;12800;1800
2600;11200;1000;2600
2700;2000;500;1800
2800;10600;600;1700
2900;6100;7100;2200
3000;10000;11700;2400
3100;8700;1900;4000
3200;14200;8800;1900
3300;3000;600;2400
3400;5700;400;1800
3500;22000;10400;2700
3600;13900;15000;20300
3700;78800;11100;6500
3800;9200;200;2100
3900;13100;600;3400
4000;75200;2500;4500
4100;11500;200;4200
4200;13900;15900;4600
4300;10100;200;2300
4400;6300;6600;2900
4500;8000;600;3900
4600;14700;300;3500
4700;8300;21000;4200
4800;5000;14500;2800
4900;8000;400;2600
5000;6700;6100;2700
5100;5100;100;2200
5200;5700;11300;4300
5300;9100;8900;4100
5400;6000;28500;4000
5500;15900;14400;3500
5600;11300;500;2600
5700;8200;7700;2700
5800;8300;19900;4000
5900;5800;300;2700
6000;6800;200;2500
6100;300;600;2300
6200;8600;500;4700
6300;45300;12000;4700
6400;600;13200;3900
6500;12900;1400;3900
6600;12600;2400;4600
6700;16200;3000;4900
6800;10900;11800;3600
6900;12100;300;4600
7000;700;900;4200
7100;700;12000;4300
7200;10100;6200;3400
7300;500;200;2600
7400;10000;10200;4200
7500;10700;1300;3100
7600;800;2800;2800
7700;6700;4200;5200
7800;600;7800;2300
7900;7100;9000;2800
8000;9600;13000;4200
8100;1700;26600;18100
8200;5500;3700;300
8300;8100;10100;300
8400;11600;7500;300
8500;8700;8200;300
8600;10600;5700;300
8700;13100;7000;300
8800;6300;8900;300
8900;6900;9400;400
9000;8300;11300;400
9100;6200;9100;300
9200;7700;63100;600
9300;600;14500;500
9400;800;12500;600
9500;18200;600;400
9600;1500;10800;900
9700;2100;16400;400
9800;1300;16100;300
9900;500;7300;300
10000;7200;600;200
